Experiment,E2E_GFLOPs/Sample,E2E_Latency_ms/Sample,E2E_Total_Params,E2E_Param_Mem_MB,Max_Peak_VRAM_MB
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_ProteinGym,234.4524,10.39,1152368659,2201.15,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_Test,234.4524,10.05,1152368659,2201.15,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ClinVarHQ,234.4524,10.35,1152368659,2201.15,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_UniProt,234.4524,10.36,1152368659,2201.15,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ProteinGym,234.4524,10.38,1152368659,2201.15,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_Test,234.4524,10.05,1154469907,2209.16,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ClinVarHQ,234.4524,10.34,1154469907,2209.16,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_UniProt,234.4524,10.36,1154469907,2209.16,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ProteinGym,234.4524,10.38,1154469907,2209.16,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_Test,234.4608,10.05,1155522067,2213.18,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_ClinVarHQ,234.4608,10.34,1155522067,2213.18,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_UniProt,234.4608,10.36,1155522067,2213.18,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_ProteinGym,234.4608,10.38,1155522067,2213.18,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_Test,234.4531,10.05,1152695827,2202.4,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_ClinVarHQ,234.4531,10.34,1152695827,2202.4,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_UniProt,234.4531,10.36,1152695827,2202.4,1961.98
train3__val_cls_bio_dna_geom_prot_nt_v2_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_ProteinGym,234.4531,10.38,1152695827,2202.4,1961.98
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_PyTorch_Concat__Train3Val_Test,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_PyTorch_Concat__Train3Val_ClinVarHQ,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_PyTorch_Concat__Train3Val_UniProt,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_PyTorch_Concat__Train3Val_ProteinGym,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_Test,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_ClinVarHQ,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_UniProt,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_ProteinGym,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_Test,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ClinVarHQ,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_UniProt,0.0002,0.0,86145,0.33,0.0
train3__val_cls_bio_geom_nt_v2_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ProteinGym,0.0002,0.0,86145,0.33,0.0
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train3Val_Test,231.7942,9.35,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train3Val_ClinVarHQ,231.7942,9.86,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train3Val_UniProt,231.7942,9.85,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train3Val_ProteinGym,231.7942,9.88,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train3Val_Test,231.7942,9.36,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train3Val_ClinVarHQ,231.7942,9.87,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train3Val_UniProt,231.7942,9.86,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train3Val_ProteinGym,231.7942,9.89,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train3Val_Test,231.8026,9.37,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train3Val_ClinVarHQ,231.8026,9.88,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train3Val_UniProt,231.8026,9.87,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train3Val_ProteinGym,231.8026,9.9,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train3Val_Test,231.7948,9.35,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train3Val_ClinVarHQ,231.7948,9.86,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train3Val_UniProt,231.7948,9.85,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train3Val_ProteinGym,231.7948,9.88,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_Test,231.7942,9.35,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_ClinVarHQ,231.7942,9.86,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_UniProt,231.7942,9.85,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_ProteinGym,231.7942,9.88,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_Test,231.7942,9.34,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ClinVarHQ,231.7942,9.85,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_UniProt,231.7942,9.84,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ProteinGym,231.7942,9.87,1139801633,2177.33,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_Test,231.7942,9.34,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ClinVarHQ,231.7942,9.85,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_UniProt,231.7942,9.84,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ProteinGym,231.7942,9.87,1141902881,2185.35,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_Test,231.8026,9.34,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_ClinVarHQ,231.8026,9.85,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_UniProt,231.8026,9.84,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_ProteinGym,231.8026,9.87,1142955041,2189.36,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_Test,231.7948,9.34,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_ClinVarHQ,231.7948,9.85,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_UniProt,231.7948,9.84,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_ProteinGym,231.7948,9.87,1140128801,2178.58,1961.98
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train3Val_Test,231.7932,10.02,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train3Val_ClinVarHQ,231.7932,10.37,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train3Val_UniProt,231.7932,10.35,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Concat__Train3Val_ProteinGym,231.7932,10.36,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train3Val_Test,231.7932,10.03,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train3Val_ClinVarHQ,231.7932,10.38,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train3Val_UniProt,231.7932,10.36,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_CrossAttn__Train3Val_ProteinGym,231.7932,10.37,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train3Val_Test,231.8016,10.04,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train3Val_ClinVarHQ,231.8016,10.39,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train3Val_UniProt,231.8016,10.37,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Transformer__Train3Val_ProteinGym,231.8016,10.38,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train3Val_Test,231.7938,10.02,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train3Val_ClinVarHQ,231.7938,10.37,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train3Val_UniProt,231.7938,10.35,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_PyTorch_Gating__Train3Val_ProteinGym,231.7938,10.36,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train3Val_Test,231.7932,10.02,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train3Val_ClinVarHQ,231.7932,10.37,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train3Val_UniProt,231.7932,10.35,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Pure_XGBoost_Concat__Train3Val_ProteinGym,231.7932,10.36,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train3Val_Test,231.7932,10.01,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train3Val_ClinVarHQ,231.7932,10.36,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train3Val_UniProt,231.7932,10.34,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Concat_XGBoost__Train3Val_ProteinGym,231.7932,10.35,1138485793,2174.82,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_CrossAttn_XGBoost__Train3Val_Test,231.7932,10.01,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ClinVarHQ,231.7932,10.36,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_CrossAttn_XGBoost__Train3Val_UniProt,231.7932,10.34,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ProteinGym,231.7932,10.35,1140587041,2182.84,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Transformer_XGBoost__Train3Val_Test,231.8016,10.01,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Transformer_XGBoost__Train3Val_ClinVarHQ,231.8016,10.36,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Transformer_XGBoost__Train3Val_UniProt,231.8016,10.34,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Transformer_XGBoost__Train3Val_ProteinGym,231.8016,10.35,1141639201,2186.85,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Gating_XGBoost__Train3Val_Test,231.7938,10.01,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Gating_XGBoost__Train3Val_ClinVarHQ,231.7938,10.36,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Gating_XGBoost__Train3Val_UniProt,231.7938,10.34,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esm2_650m_Hybrid_Gating_XGBoost__Train3Val_ProteinGym,231.7938,10.35,1138812961,2176.07,1686.1
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train3Val_Test,216.1122,8.55,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train3Val_ClinVarHQ,216.1122,8.98,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train3Val_UniProt,216.1122,8.89,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Concat__Train3Val_ProteinGym,216.1122,8.91,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train3Val_Test,216.1122,8.56,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train3Val_ClinVarHQ,216.1122,8.99,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train3Val_UniProt,216.1122,8.9,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_CrossAttn__Train3Val_ProteinGym,216.1122,8.92,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train3Val_Test,216.1206,8.57,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train3Val_ClinVarHQ,216.1206,9.0,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train3Val_UniProt,216.1206,8.91,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Transformer__Train3Val_ProteinGym,216.1206,8.93,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train3Val_Test,216.1128,8.55,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train3Val_ClinVarHQ,216.1128,8.98,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train3Val_UniProt,216.1128,8.89,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_PyTorch_Gating__Train3Val_ProteinGym,216.1128,8.91,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train3Val_Test,216.1122,8.55,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train3Val_ClinVarHQ,216.1122,8.98,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train3Val_UniProt,216.1122,8.89,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Pure_XGBoost_Concat__Train3Val_ProteinGym,216.1122,8.91,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train3Val_Test,216.1122,8.54,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train3Val_ClinVarHQ,216.1122,8.97,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train3Val_UniProt,216.1122,8.88,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Concat_XGBoost__Train3Val_ProteinGym,216.1122,8.9,1062413995,2029.6,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train3Val_Test,216.1122,8.54,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train3Val_ClinVarHQ,216.1122,8.97,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train3Val_UniProt,216.1122,8.88,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_CrossAttn_XGBoost__Train3Val_ProteinGym,216.1122,8.9,1064515243,2037.62,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train3Val_Test,216.1206,8.54,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train3Val_ClinVarHQ,216.1206,8.97,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train3Val_UniProt,216.1206,8.88,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Transformer_XGBoost__Train3Val_ProteinGym,216.1206,8.9,1065567403,2041.63,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train3Val_Test,216.1128,8.54,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train3Val_ClinVarHQ,216.1128,8.97,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train3Val_UniProt,216.1128,8.88,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v1_500m_esmc_600m_Hybrid_Gating_XGBoost__Train3Val_ProteinGym,216.1128,8.9,1062741163,2030.85,1656.34
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train3Val_Test,211.0135,12.38,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train3Val_ClinVarHQ,211.0135,12.62,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train3Val_UniProt,211.0135,12.62,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Concat__Train3Val_ProteinGym,211.0135,12.49,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train3Val_Test,211.0135,12.39,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train3Val_ClinVarHQ,211.0135,12.62,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train3Val_UniProt,211.0135,12.63,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_CrossAttn__Train3Val_ProteinGym,211.0135,12.5,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train3Val_Test,211.0219,12.4,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train3Val_ClinVarHQ,211.0219,12.64,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train3Val_UniProt,211.0219,12.64,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train3Val_ProteinGym,211.0219,12.51,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train3Val_Test,211.0141,12.38,1306390002,3739.21,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train3Val_ClinVarHQ,211.0141,12.62,1306390002,3739.21,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train3Val_UniProt,211.0141,12.62,1306390002,3739.21,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train3Val_ProteinGym,211.0141,12.49,1306390002,3739.21,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_Test,211.0135,12.38,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_ClinVarHQ,211.0135,12.62,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_UniProt,211.0135,12.62,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train3Val_ProteinGym,211.0135,12.49,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_Test,211.0135,12.37,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ClinVarHQ,211.0135,12.61,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_UniProt,211.0135,12.61,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Concat_XGBoost__Train3Val_ProteinGym,211.0135,12.48,1306062834,3737.96,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_Test,211.0135,12.37,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ClinVarHQ,211.0135,12.61,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_UniProt,211.0135,12.61,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_CrossAttn_XGBoost__Train3Val_ProteinGym,211.0135,12.48,1308164082,3745.98,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_Test,211.0219,12.37,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_ClinVarHQ,211.0219,12.61,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_UniProt,211.0219,12.61,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Transformer_XGBoost__Train3Val_ProteinGym,211.0219,12.48,1309216242,3749.99,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_Test,211.0141,12.37,1306390002,3739.21,3643.92
train3__val_mean_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Gating_XGBoost__Train3Val_ClinVarHQ,211.0141,12.61,1306390002,3739.21,3643.92
